holding_pressure;holding_pressure_time;melt_temp;mold_temp;cooling_time;volume_flow;max_deformation;lego
600;9.5;240;40;24.0;150.0691;0.7807099819000001;6x2_Lego
100;9.5;240;40;24.0;150.0691;1.281112432;6x2_Lego
350;9.5;260;40;24.0;150.0691;1.092217922;6x2_Lego
350;9.5;220;40;24.0;150.0691;1.018349648;6x2_Lego
350;9.5;240;60;24.0;150.0691;1.24125886;6x2_Lego
350;9.5;240;20;24.0;150.0691;0.8099244237000001;6x2_Lego
350;16.0;240;40;24.0;150.0691;1.011608124;6x2_Lego
350;3.0;240;40;24.0;150.0691;1.606732488;6x2_Lego
350;9.5;240;40;31.989;150.0691;1.01070118;6x2_Lego
350;9.5;240;40;16.011;150.0691;1.0957585570000001;6x2_Lego
350;9.5;240;40;24.0;220.0691;1.034774065;6x2_Lego
350;9.5;240;40;24.0;80.0691;1.023722291;6x2_Lego
173;4.9;226;26;18.3;100.5691;1.189900279;6x2_Lego
173;4.9;254;26;18.3;100.5691;1.39380157;6x2_Lego
173;4.9;226;54;18.3;100.5691;1.555956841;6x2_Lego
173;4.9;254;54;18.3;100.5691;1.8361302609999999;6x2_Lego
173;14.1;226;26;18.3;100.5691;1.079691887;6x2_Lego
173;14.1;254;26;18.3;100.5691;1.092698932;6x2_Lego
173;14.1;226;54;18.3;100.5691;1.375303984;6x2_Lego
173;14.1;254;54;18.3;100.5691;1.391566515;6x2_Lego
173;4.9;226;26;29.7;100.5691;1.1220862870000001;6x2_Lego
173;4.9;254;26;29.7;100.5691;1.316175699;6x2_Lego
173;4.9;226;54;29.7;100.5691;1.504631162;6x2_Lego
173;4.9;254;54;29.7;100.5691;1.7753449680000002;6x2_Lego
173;14.1;226;26;29.7;100.5691;1.008576035;6x2_Lego
173;14.1;254;26;29.7;100.5691;1.006005764;6x2_Lego
173;14.1;226;54;29.7;100.5691;1.323278666;6x2_Lego
173;14.1;254;54;29.7;100.5691;1.320662737;6x2_Lego
